Transaction Date,Description,Amount
2024-01-15,STARBUCKS STORE 1234 SAN JOSE CA,-5.50
2024-01-16,AMAZON.COM*AB1234 AMZN.COM/BILL WA,-89.99
2024-01-17,SHELL OIL 12345,-42.00
2024-01-18,TRADER JOE S #100 12345,-67.34
2024-01-19,UNITED AIRLINES 1234567890,-320.00
2024-01-20,NETFLIX.COM BILL,-15.49
2024-01-21,CVS PHARMACY #1234,-23.45
2024-01-22,COSTCO WHSE #1234,-156.78
2024-01-23,CHIPOTLE 1234,-14.25
2024-01-24,UBER TRIP 12345,-18.90
2024-01-25,WHOLE FOODS MKT 12345,-94.12
2024-01-26,DOORDASH*DASHPASS 123,-9.99
2024-01-27,COMCAST CABLE COMCAST.COM,-79.99
2024-01-28,AMC THEATRES 12345,-32.00
2024-01-29,SPOTIFY USA,-10.99
